APP_ID,MENU_ID,MENU_DESC,MENU_PROGRAM,APP_ID_LEADER,MENU_ID_LEADER,MENU_SEQUENCE
1,1,"MASTER",,1,,1
1,2,"INBOX",,1,,2
1,3,"VIEW",,1,,3
1,4,"REPORT",,1,,4
1,11,"Master Status Klaim","StatusClaimInbox",1,1,1101
1,12,"Master Rekening","MasterRekening",1,1,1102
1,13,"Master PIC Teknik","UserTeknisInbox",1,1,1103
1,14,"Master Tipe Surveyors","SurveyorsInbox",1,1,1104
1,15,"Master Surveyors","DetailSurveyorsInbox",1,1,1105
1,16,"Master Recovery","MasterRecovery",1,1,1106
1,17,"Master Masking","MasterProteksiVisibilityData",1,1,1107
1,18,"Master Dominan Factor","DetailDominanFactor",1,1,1108
1,19,"Master XOL","DetailMasterXOL",1,1,1109
1,20,"Master Penyebab Kerugian","CauseOfLossInbox",1,1,1110
1,21,"Master COL SIMAS ONLNE","CauseOfLossInboxSimasOnline",1,1,1111
1,22,"Master Dokumen Travel","BrowseMasterDocumentTravel_Harness",1,1,1112
1,23,"Master Status Progress 1","StatusProgress",1,1,1113
1,24,"Master Status Progress 2","StatusProgress2",1,1,1114
1,25,"Master Penolakan Klaim","PNC_MasterTolakKlaim",1,1,1115
1,26,"Master Auto Claim","AutoKlaim",1,1,1116
1,27,"Master Pasal Kerugian","DetailMasterPasalRejected",1,1,1117
1,28,"Master Bengkel","BengkelHE",1,1,1118
1,29,"Master Supplier","MasterSupplier",1,1,1119
1,30,"Master Panel","MasterPanel_HE",1,1,1120
1,31,"Master Sparepart","SparePart_HE",1,1,1121
1,32,"Master Grouping Sparepart","GroupingSparePart_HE",1,1,1122
1,33,"Master Kategori Sparepart","GCNMCatSparepart",1,1,1123
1,34,"Master Tipe Sparepart","GCNMMasterSparepartType",1,1,1124
1,35,"Master Reas","DataMemberReas",1,1,1125
1,36,"Master Pasal AI","DetailMasterPasalAI",1,1,1126
1,37,"Master Login","MasterLoginSurvey",1,1,1127
1,38,"Detail Penyebab Kerugian","DetailCauseOfLoss",1,1,1128
1,39,"Daftar Detail Dokumen Travel","ListDocumentTravel",1,1,1129
1,40,"Daftar Tipe Dokumen","ListDocumentTypeInbox",1,1,1130
1,41,"Daftar Detail Tipe Dokumen","ListDetTypeDocument",1,1,1131
1,42,"Daftar Tipe Dokumen Bisnis","DetTypeDocumenBisnis",1,1,1132
1,43,"Daftar Objek Dokumen","ListDocumentObject",1,1,1133
1,44,"Inbox PLA, DLA, Pre DLA","InboxPLA_harness",1,2,1134
1,45,"Inbox PLA DLA","InboxPLADLA",1,2,1135
1,46,"Inbox Service Center","InboxServiceCenter",1,2,1136
1,47,"Inbox Compliance","inboxCompliance_Harness",1,2,1137
1,48,"Inbox Investigator","InboxInvestigator_Harness",1,2,1138
1,49,"Inbox Receive TKA","InboxTKA_Harness",1,2,1139
1,50,"My Work","InboxSurvey_Harness",1,2,1140
1,51,"My Inbox","InboxRegister_Harness",1,2,1141
1,52,"Inbox Komite","InboxKomite_Harness",1,2,1142
1,53,"Inbox XOL","Inbox_XOL_Harness",1,2,1143
1,54,"Inbox Claim Treaty Prop","InboxClaimTreaty_Harness",1,2,1144
1,55,"Inbox Claim Treaty Non Prop","InboxClaimNonProp_Harness",1,2,1145
1,56,"Inbox Manager Receive / PUCL","ReceiveDoucument_Harness",1,2,1146
1,57,"Inbox Manager Admin","InboxManagerAdmin_Harness",1,2,1147
1,58,"Inbox Manager","UserInbox_Harness",1,2,1148
1,59,"Inbox Close Claim","InboxCloseClaim_Harness",1,2,1149
1,60,"Inbox Analyst Doctor","inboxAnalystDoctor_Harness",1,2,1150
1,61,"Inbox RCL/PUCL","RCLPUCL_Harness",1,2,1151
1,62,"Inbox RCL","RCL_Harness",1,2,1152
1,63,"Inbox Admin","PNCInboxAdmin",1,2,1153
1,64,"Inbox Laporan Klaim","InboxRCVApp_Harness",1,2,1154
1,65,"Inbox Progress Claim","ProgressClaim_Harness",1,2,1155
1,66,"Inbox Open Protection","InputProtection_Harness",1,2,1156
1,67,"Input Req Protection","InputReqProtection_Harness",1,2,1157
1,68,"Inbox Auto Claim","InboxAutoClaim",1,2,1158
1,69,"Inbox OS Claim per Cabang","OutstandingKlaimperCabang_Harness",1,2,1159
1,70,"Inbox Komunikasi Cabang","InboxKomunikasiCabang",1,2,1160
1,71,"Inbox Salvage","InboxSalvage",1,2,1161
1,72,"Inbox Banding Harga Salvage","InboxRequestSalvage",1,2,1162
1,73,"Dashboard Claim","DashboardClaim_Harness",1,2,1163
1,74,"Case Study Claim","PNCStudyClaim",1,2,1164
1,75,"View Claim","PNCViewClaim",1,3,1165
1,76,"View History Claim","PNCSearchKlaim",1,3,1166
1,77,"Archive Dokumen Klaim","PNCArchiveDokumen",1,3,1167
1,78,"Monitoring SLINK OJK","MonitoringSLINKOJK",1,2,1168
1,79,"Inbox Outstanding","InboxOutstanding_Harness",1,2,1169
1,80,"Lost Adjuster","LostAdjuster_harness",1,2,1170
1,81,"View Policy","ViewPolis",1,3,1171
1,82,"Laporan Hasil AI","Har_LaporanHasilAI",1,4,1172
1,83,"Report Adjuster",,1,4,1173
1,84,"Report KPI PNC","ReportKPIHarness",1,4,1174
1,85,"Report Klaim","PNCTATReport",1,4,1175
1,86,"Report Produksi Klaim PA","ReportProduksiPA_harnes",1,4,1176
