LSC_ID,OLD_LSC_ID,LSC_NOTE
"1134","01  ","Abbreviated Report"
"1135","02  ","Preliminary Report"
"1136","03  ","Interim Payment Report"
"1137","04  ","Final Report"
"1138","05  ","PLA Report"
"1139","06  ","DLA Report"
"1140","07  ","Partial Accepted"
"1141","08  ","Full Accepted"
"1142","09  ","Rejected Claim"
"1143","10  ","Close Claim for this object"
"1144","11  ","Cancelled Claim"
"1145",,"Waiting Survey"
"1146",,"View Polis"
"1147",,"Register"
"1148",,"CFS Report"
"1149",,"Claim Committee"
"1150",,"LOD Report"
"1151",,"Analyst"
"1152",,"Compliance"
"1153",,"RCL"
"1154",,"PUCL"
"1155",,"RCL Dokter"
"1156",,"Investigator"
"1157",,"Document Waiting RCL/PUCL"
"1158",,"Inputor"
"1159",,"Approval Commite"
"1160",,"Rejected Commite"
"1161",,"Acceptance Report"
"1162",,"Transfered to Cashier"
"1163",,"Paid"
"1164",,"Reopen Claim"
"1165",,"Rejected Chasier"
"1166",,"LOD Accepted"
